Zip (int),Station
65438,USA_MO_Poplar.Bluff.AWOS.723300_TMY3
66863,USA_KS_Chanute-Martin.Johnson.AP.724507_TMY3
67744,USA_NE_McCook.Muni.AP.725625_TMY3
68346,USA_NE_Bellevue-Offutt.AFB.725540_TMY3
68423,USA_NE_Lincoln.Muni.AP.725510_TMY3
76028,USA_TX_Fort.Worth.NAS.722595_TMY3
77225,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3
80521,USA_CO_Fort.Collins.AWOS.724769_TMY3
81521,USA_CO_Grand.Junction-Walker.Field.724760_TMY3
83211,USA_ID_Pocatello.Muni.AP.725780_TMY3
84010,USA_UT_Salt.Lake.City.Intl.AP.725720_TMY3
84201,USA_UT_Ogden-Hinkley.AP.725750_TMY3
85942,USA_AZ_Show.Low.Muni.AP.723747_TMY3
59601,USA_MT_Helena.Rgnl.AP.727720_TMY3
60417,USA_IL_Chicago-Midway.AP.725340_TMY3
61361,USA_IL_Sterling-Rock.Falls-Whiteside.County.AP.725326_TMY3
57647,USA_SD_Mobridge.Muni.AP.726685_TMY3
58006,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3
78215,USA_TX_San.Antonio.Intl.AP.722530_TMY3
72327,USA_TN_Memphis.Intl.AP.723340_TMY3
73851,USA_OK_Gage.AP.723527_TMY3
71211,USA_LA_Monroe.Rgnl.AP.722486_TMY3
71753,USA_AR_El.Dorado-Goodwin.Field.723419_TMY3
24412,USA_VA_Hot.Springs-Ingalls.Field.724115_TMY3
24714,USA_WV_Bluefield-Mercer.County.AP.724125_TMY3
30261,USA_GA_Columbus.Metro.AP.722255_TMY3
30753,USA_GA_Rome-Richard.B.Russell.AP.723200_TMY3
33269,USA_FL_Miami-Kendall-Tamiami.Executive.AP.722029_TMY3
19979,USA_DE_Dover.AFB.724088_TMY3
20019,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
21830,USA_MD_Salisbury-Wicomico.County.Rgnl.AP.724045_TMY3
8857,USA_NJ_Belmar-Monmouth.County.AP.724084_TMY3
10993,USA_NY_White.Plains-Westchester.County.AP.725037_TMY3
11109,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3
28553,USA_NC_Cherry.Point.MCAS.723090_TMY3
29214,USA_SC_Columbia.Metro.AP.723100_TMY3
13402,USA_NY_Utica-Oneida.County.AP.725197_TMY3
52570,USA_IA_Fairfield.Muni.AP.726498_TMY3
53220,USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3
54950,USA_WI_Appleton-Outagamie.County.AP.726457_TMY3
36736,USA_MS_Meridian.NAS.722345_TMY3
10625,USA_NY_White.Plains-Westchester.County.AP.725037_TMY3
10963,USA_NY_Monticello.AWOS.725145_TMY3
